ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(5),PRSENTSUMMARY.TXT,0.27692,0.37500,0.31858,1
ROUGE-1,AURORA SHOOTING(5),SORTESINGLEWINGTWEETSUMMARY.TXT,0.21538,0.32558,0.25926,1
ROUGE-1,AURORA SHOOTING(5),PRTWEETSUMMARY.TXT,0.24615,0.32000,0.27826,1
ROUGE-1,AURORA SHOOTING(5),SORTESINGLEWINGSENTSUMMARY.TXT,0.24615,0.27586,0.26016,1
ROUGE-1,AURORA SHOOTING(5),SORTETWEETSUMMARY.TXT,0.20000,0.30952,0.24299,1
ROUGE-1,AURORA SHOOTING(5),SORTESENTSUMMARY.TXT,0.27692,0.24000,0.25714,1
