ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AFRICAN RUNNER MURDER(5),PRTWEETSUMMARY.TXT,0.31481,0.20988,0.25185,1
ROUGE-1,AFRICAN RUNNER MURDER(5),SORTESENTSUMMARY.TXT,0.27778,0.17647,0.21583,1
ROUGE-1,AFRICAN RUNNER MURDER(5),SORTESINGLEWINGSENTSUMMARY.TXT,0.27778,0.20833,0.23810,1
ROUGE-1,AFRICAN RUNNER MURDER(5),SORTESINGLEWINGTWEETSUMMARY.TXT,0.22222,0.14286,0.17391,1
ROUGE-1,AFRICAN RUNNER MURDER(5),PRSENTSUMMARY.TXT,0.31481,0.25000,0.27869,1
ROUGE-1,AFRICAN RUNNER MURDER(5),SORTETWEETSUMMARY.TXT,0.24074,0.15476,0.18841,1
