ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(6),SORTETWEETSUMMARY.TXT,0.23256,0.15873,0.18868,1
ROUGE-1,AURORA SHOOTING(6),PRTWEETSUMMARY.TXT,0.25581,0.22917,0.24176,1
ROUGE-1,AURORA SHOOTING(6),SORTESINGLEWINGTWEETSUMMARY.TXT,0.30233,0.21667,0.25243,1
ROUGE-1,AURORA SHOOTING(6),SORTESENTSUMMARY.TXT,0.16279,0.17500,0.16867,1
ROUGE-1,AURORA SHOOTING(6),SORTESINGLEWINGSENTSUMMARY.TXT,0.13953,0.18182,0.15789,1
ROUGE-1,AURORA SHOOTING(6),PRSENTSUMMARY.TXT,0.20930,0.18367,0.19565,1
