ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(4),SORTESINGLEWINGTWEETSUMMARY.TXT,0.27500,0.23913,0.25581,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(4),PRTWEETSUMMARY.TXT,0.25000,0.17241,0.20408,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(4),SORTETWEETSUMMARY.TXT,0.27500,0.23913,0.25581,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(4),SORTESENTSUMMARY.TXT,0.20000,0.22857,0.21333,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(4),PRSENTSUMMARY.TXT,0.27500,0.21154,0.23913,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(4),SORTESINGLEWINGSENTSUMMARY.TXT,0.20000,0.22857,0.21333,1
