ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(10),PRSENTSUMMARY.TXT,0.29032,0.10345,0.15254,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(10),SORTESENTSUMMARY.TXT,0.32258,0.09524,0.14706,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(10),SORTESINGLEWINGSENTSUMMARY.TXT,0.32258,0.11111,0.16529,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(10),SORTETWEETSUMMARY.TXT,0.06452,0.05000,0.05634,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(10),SORTESINGLEWINGTWEETSUMMARY.TXT,0.06452,0.06667,0.06557,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(10),PRTWEETSUMMARY.TXT,0.32258,0.15873,0.21277,1
