ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AFRICAN RUNNER MURDER(6),SORTETWEETSUMMARY.TXT,0.22917,0.17742,0.20000,1
ROUGE-1,AFRICAN RUNNER MURDER(6),SORTESINGLEWINGTWEETSUMMARY.TXT,0.25000,0.18750,0.21429,1
ROUGE-1,AFRICAN RUNNER MURDER(6),SORTESENTSUMMARY.TXT,0.29167,0.21875,0.25000,1
ROUGE-1,AFRICAN RUNNER MURDER(6),PRTWEETSUMMARY.TXT,0.22917,0.17460,0.19820,1
ROUGE-1,AFRICAN RUNNER MURDER(6),PRSENTSUMMARY.TXT,0.39583,0.26761,0.31933,1
ROUGE-1,AFRICAN RUNNER MURDER(6),SORTESINGLEWINGSENTSUMMARY.TXT,0.29167,0.23729,0.26168,1
