ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(7),SORTESENTSUMMARY.TXT,0.46341,0.25333,0.32759,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(7),SORTETWEETSUMMARY.TXT,0.07317,0.06250,0.06742,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(7),PRTWEETSUMMARY.TXT,0.19512,0.13793,0.16162,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(7),PRSENTSUMMARY.TXT,0.46341,0.15966,0.23750,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(7),SORTESINGLEWINGSENTSUMMARY.TXT,0.39024,0.32653,0.35556,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(7),SORTESINGLEWINGTWEETSUMMARY.TXT,0.17073,0.14894,0.15909,1
