ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AFRICAN RUNNER MURDER(2),SORTESINGLEWINGTWEETSUMMARY.TXT,0.32000,0.17391,0.22535,1
ROUGE-1,AFRICAN RUNNER MURDER(2),SORTETWEETSUMMARY.TXT,0.32000,0.17391,0.22535,1
ROUGE-1,AFRICAN RUNNER MURDER(2),SORTESINGLEWINGSENTSUMMARY.TXT,0.12000,0.04225,0.06250,1
ROUGE-1,AFRICAN RUNNER MURDER(2),PRSENTSUMMARY.TXT,0.16000,0.05714,0.08421,1
ROUGE-1,AFRICAN RUNNER MURDER(2),PRTWEETSUMMARY.TXT,0.28000,0.09333,0.14000,1
ROUGE-1,AFRICAN RUNNER MURDER(2),SORTESENTSUMMARY.TXT,0.12000,0.04225,0.06250,1
