ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(10),PRSENTSUMMARY.TXT,0.46341,0.16522,0.24359,1
ROUGE-1,AURORA SHOOTING(10),SORTESINGLEWINGSENTSUMMARY.TXT,0.24390,0.18868,0.21277,1
ROUGE-1,AURORA SHOOTING(10),SORTESENTSUMMARY.TXT,0.26829,0.11828,0.16418,1
ROUGE-1,AURORA SHOOTING(10),SORTESINGLEWINGTWEETSUMMARY.TXT,0.24390,0.15152,0.18692,1
ROUGE-1,AURORA SHOOTING(10),PRTWEETSUMMARY.TXT,0.24390,0.14286,0.18018,1
ROUGE-1,AURORA SHOOTING(10),SORTETWEETSUMMARY.TXT,0.09756,0.08000,0.08791,1
