ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(5),PRTWEETSUMMARY.TXT,0.07692,0.06667,0.07143,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(5),SORTESINGLEWINGSENTSUMMARY.TXT,0.10256,0.33333,0.15686,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(5),SORTESENTSUMMARY.TXT,0.15385,0.24000,0.18750,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(5),PRSENTSUMMARY.TXT,0.17949,0.16667,0.17284,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(5),SORTETWEETSUMMARY.TXT,0.07692,0.06522,0.07059,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(5),SORTESINGLEWINGTWEETSUMMARY.TXT,0.20513,0.14545,0.17021,1
