ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(6),SORTESENTSUMMARY.TXT,0.38889,0.24419,0.30000,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(6),PRSENTSUMMARY.TXT,0.38889,0.27273,0.32061,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(6),SORTESINGLEWINGSENTSUMMARY.TXT,0.38889,0.24419,0.30000,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(6),PRTWEETSUMMARY.TXT,0.20370,0.17188,0.18644,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(6),SORTESINGLEWINGTWEETSUMMARY.TXT,0.25926,0.20290,0.22764,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(6),SORTETWEETSUMMARY.TXT,0.25926,0.20290,0.22764,1
