ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(8),SORTESINGLEWINGSENTSUMMARY.TXT,0.16981,0.17647,0.17308,1
ROUGE-1,AURORA SHOOTING(8),SORTESENTSUMMARY.TXT,0.30189,0.17978,0.22535,1
ROUGE-1,AURORA SHOOTING(8),SORTESINGLEWINGTWEETSUMMARY.TXT,0.20755,0.19298,0.20000,1
ROUGE-1,AURORA SHOOTING(8),PRTWEETSUMMARY.TXT,0.28302,0.20270,0.23622,1
ROUGE-1,AURORA SHOOTING(8),SORTETWEETSUMMARY.TXT,0.16981,0.18000,0.17476,1
ROUGE-1,AURORA SHOOTING(8),PRSENTSUMMARY.TXT,0.20755,0.16418,0.18333,1
