ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(2),SORTESENTSUMMARY.TXT,0.34146,0.10938,0.16568,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(2),SORTETWEETSUMMARY.TXT,0.07317,0.05556,0.06316,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(2),PRSENTSUMMARY.TXT,0.26829,0.22000,0.24176,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(2),PRTWEETSUMMARY.TXT,0.04878,0.04000,0.04396,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(2),SORTESINGLEWINGTWEETSUMMARY.TXT,0.04878,0.03704,0.04211,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(2),SORTESINGLEWINGSENTSUMMARY.TXT,0.09756,0.05063,0.06667,1
