ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(7),PRTWEETSUMMARY.TXT,0.21951,0.17647,0.19565,1
ROUGE-1,AURORA SHOOTING(7),SORTESINGLEWINGTWEETSUMMARY.TXT,0.17073,0.12069,0.14141,1
ROUGE-1,AURORA SHOOTING(7),SORTETWEETSUMMARY.TXT,0.17073,0.17073,0.17073,1
ROUGE-1,AURORA SHOOTING(7),SORTESINGLEWINGSENTSUMMARY.TXT,0.19512,0.14545,0.16667,1
ROUGE-1,AURORA SHOOTING(7),SORTESENTSUMMARY.TXT,0.36585,0.15152,0.21429,1
ROUGE-1,AURORA SHOOTING(7),PRSENTSUMMARY.TXT,0.24390,0.14493,0.18182,1
