ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AFRICAN RUNNER MURDER(3),SORTESENTSUMMARY.TXT,0.31429,0.13415,0.18803,1
ROUGE-1,AFRICAN RUNNER MURDER(3),SORTESINGLEWINGSENTSUMMARY.TXT,0.31429,0.13415,0.18803,1
ROUGE-1,AFRICAN RUNNER MURDER(3),PRSENTSUMMARY.TXT,0.45714,0.16842,0.24615,1
ROUGE-1,AFRICAN RUNNER MURDER(3),SORTETWEETSUMMARY.TXT,0.25714,0.10843,0.15254,1
ROUGE-1,AFRICAN RUNNER MURDER(3),PRTWEETSUMMARY.TXT,0.28571,0.14925,0.19608,1
ROUGE-1,AFRICAN RUNNER MURDER(3),SORTESINGLEWINGTWEETSUMMARY.TXT,0.17143,0.10714,0.13187,1
