ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(9),PRTWEETSUMMARY.TXT,0.16667,0.15385,0.16000,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(9),SORTETWEETSUMMARY.TXT,0.10000,0.15000,0.12000,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(9),SORTESENTSUMMARY.TXT,0.31667,0.22093,0.26027,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(9),PRSENTSUMMARY.TXT,0.35000,0.28767,0.31579,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(9),SORTESINGLEWINGSENTSUMMARY.TXT,0.31667,0.22093,0.26027,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(9),SORTESINGLEWINGTWEETSUMMARY.TXT,0.10000,0.15000,0.12000,1
