ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(3),PRSENTSUMMARY.TXT,0.35714,0.16393,0.22472,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(3),SORTESINGLEWINGTWEETSUMMARY.TXT,0.21429,0.23529,0.22430,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(3),SORTETWEETSUMMARY.TXT,0.03571,0.04167,0.03846,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(3),SORTESINGLEWINGSENTSUMMARY.TXT,0.21429,0.22222,0.21818,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(3),PRTWEETSUMMARY.TXT,0.21429,0.18462,0.19835,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(3),SORTESENTSUMMARY.TXT,0.26786,0.19737,0.22727,1
