ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,ASIANA AIRLINES FLIGHT 214(8),PRSENTSUMMARY.TXT,0.28302,0.19737,0.23256,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(8),SORTESINGLEWINGTWEETSUMMARY.TXT,0.01887,0.02381,0.02105,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(8),SORTETWEETSUMMARY.TXT,0.09434,0.09615,0.09524,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(8),SORTESINGLEWINGSENTSUMMARY.TXT,0.18868,0.16393,0.17544,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(8),PRTWEETSUMMARY.TXT,0.24528,0.19118,0.21488,1
ROUGE-1,ASIANA AIRLINES FLIGHT 214(8),SORTESENTSUMMARY.TXT,0.20755,0.15942,0.18033,1
