ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(2),PRTWEETSUMMARY.TXT,0.30357,0.20000,0.24113,1
ROUGE-1,AURORA SHOOTING(2),SORTESENTSUMMARY.TXT,0.16071,0.24324,0.19355,1
ROUGE-1,AURORA SHOOTING(2),SORTESINGLEWINGTWEETSUMMARY.TXT,0.25000,0.22951,0.23932,1
ROUGE-1,AURORA SHOOTING(2),SORTESINGLEWINGSENTSUMMARY.TXT,0.14286,0.38095,0.20779,1
ROUGE-1,AURORA SHOOTING(2),SORTETWEETSUMMARY.TXT,0.35714,0.25000,0.29412,1
ROUGE-1,AURORA SHOOTING(2),PRSENTSUMMARY.TXT,0.26786,0.22727,0.24590,1
