ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AFRICAN RUNNER MURDER(7),SORTETWEETSUMMARY.TXT,0.36170,0.22368,0.27642,1
ROUGE-1,AFRICAN RUNNER MURDER(7),SORTESINGLEWINGSENTSUMMARY.TXT,0.21277,0.29412,0.24691,1
ROUGE-1,AFRICAN RUNNER MURDER(7),SORTESINGLEWINGTWEETSUMMARY.TXT,0.34043,0.21053,0.26016,1
ROUGE-1,AFRICAN RUNNER MURDER(7),PRSENTSUMMARY.TXT,0.40426,0.24675,0.30645,1
ROUGE-1,AFRICAN RUNNER MURDER(7),SORTESENTSUMMARY.TXT,0.42553,0.37037,0.39604,1
ROUGE-1,AFRICAN RUNNER MURDER(7),PRTWEETSUMMARY.TXT,0.44681,0.27632,0.34146,1
