ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AFRICAN RUNNER MURDER(4),PRSENTSUMMARY.TXT,0.36957,0.27869,0.31776,1
ROUGE-1,AFRICAN RUNNER MURDER(4),SORTESENTSUMMARY.TXT,0.39130,0.25352,0.30769,1
ROUGE-1,AFRICAN RUNNER MURDER(4),SORTESINGLEWINGSENTSUMMARY.TXT,0.36957,0.27869,0.31776,1
ROUGE-1,AFRICAN RUNNER MURDER(4),SORTETWEETSUMMARY.TXT,0.28261,0.16049,0.20472,1
ROUGE-1,AFRICAN RUNNER MURDER(4),SORTESINGLEWINGTWEETSUMMARY.TXT,0.28261,0.18310,0.22222,1
ROUGE-1,AFRICAN RUNNER MURDER(4),PRTWEETSUMMARY.TXT,0.30435,0.19178,0.23529,1
