ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(4),SORTESINGLEWINGTWEETSUMMARY.TXT,0.16216,0.10909,0.13043,1
ROUGE-1,AURORA SHOOTING(4),PRSENTSUMMARY.TXT,0.08108,0.05172,0.06316,1
ROUGE-1,AURORA SHOOTING(4),SORTESENTSUMMARY.TXT,0.24324,0.09574,0.13740,1
ROUGE-1,AURORA SHOOTING(4),PRTWEETSUMMARY.TXT,0.13514,0.06757,0.09009,1
ROUGE-1,AURORA SHOOTING(4),SORTESINGLEWINGSENTSUMMARY.TXT,0.24324,0.09574,0.13740,1
ROUGE-1,AURORA SHOOTING(4),SORTETWEETSUMMARY.TXT,0.16216,0.09836,0.12245,1
