ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AFRICAN RUNNER MURDER(8),PRTWEETSUMMARY.TXT,0.26667,0.31579,0.28916,1
ROUGE-1,AFRICAN RUNNER MURDER(8),SORTESINGLEWINGSENTSUMMARY.TXT,0.26667,0.21429,0.23762,1
ROUGE-1,AFRICAN RUNNER MURDER(8),PRSENTSUMMARY.TXT,0.53333,0.26374,0.35294,1
ROUGE-1,AFRICAN RUNNER MURDER(8),SORTETWEETSUMMARY.TXT,0.17778,0.13333,0.15238,1
ROUGE-1,AFRICAN RUNNER MURDER(8),SORTESINGLEWINGTWEETSUMMARY.TXT,0.17778,0.12698,0.14815,1
ROUGE-1,AFRICAN RUNNER MURDER(8),SORTESENTSUMMARY.TXT,0.35556,0.19277,0.25000,1
