ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(10),RANDOMTWEETSUMMARY.TXT,0.19512,0.10000,0.13223,1
ROUGE-1,AURORA SHOOTING(10),TWEETLEADNEWSSUMMARY.TXT,0.24390,0.14493,0.18182,1
ROUGE-1,AURORA SHOOTING(10),SENTLEADNEWSSUMMARY.TXT,0.43902,0.16514,0.24000,1
ROUGE-1,AURORA SHOOTING(10),RANDOMNEWSSUMMARY.TXT,0.09756,0.10256,0.10000,1
