ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(14),PRSENTSUMMARY.TXT,0.19444,0.09859,0.13084,1
ROUGE-1,AURORA SHOOTING(14),SORTESINGLEWINGTWEETSUMMARY.TXT,0.13889,0.12821,0.13333,1
ROUGE-1,AURORA SHOOTING(14),SORTETWEETSUMMARY.TXT,0.16667,0.10909,0.13187,1
ROUGE-1,AURORA SHOOTING(14),PRTWEETSUMMARY.TXT,0.25000,0.10714,0.15000,1
ROUGE-1,AURORA SHOOTING(14),SORTESENTSUMMARY.TXT,0.47222,0.24286,0.32075,1
ROUGE-1,AURORA SHOOTING(14),SORTESINGLEWINGSENTSUMMARY.TXT,0.47222,0.26154,0.33663,1
