ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(12),SORTESINGLEWINGTWEETSUMMARY.TXT,0.07273,0.06897,0.0708,1
ROUGE-1,AURORA SHOOTING(12),PRSENTSUMMARY.TXT,0.21818,0.26087,0.23762,1
ROUGE-1,AURORA SHOOTING(12),SORTETWEETSUMMARY.TXT,0.07273,0.06897,0.0708,1
ROUGE-1,AURORA SHOOTING(12),PRTWEETSUMMARY.TXT,0.21818,0.18462,0.2,1
ROUGE-1,AURORA SHOOTING(12),SORTESENTSUMMARY.TXT,0.34545,0.32759,0.33628,1
ROUGE-1,AURORA SHOOTING(12),SORTESINGLEWINGSENTSUMMARY.TXT,0.34545,0.32759,0.33628,1
