ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(3),SORTESENTSUMMARY.TXT,0.23913,0.11702,0.15714,1
ROUGE-1,AURORA SHOOTING(3),PRTWEETSUMMARY.TXT,0.21739,0.18182,0.19802,1
ROUGE-1,AURORA SHOOTING(3),SORTESINGLEWINGSENTSUMMARY.TXT,0.21739,0.13514,0.16667,1
ROUGE-1,AURORA SHOOTING(3),PRSENTSUMMARY.TXT,0.36957,0.15315,0.21656,1
ROUGE-1,AURORA SHOOTING(3),SORTETWEETSUMMARY.TXT,0.23913,0.15068,0.18487,1
ROUGE-1,AURORA SHOOTING(3),SORTESINGLEWINGTWEETSUMMARY.TXT,0.26087,0.14118,0.18321,1
