ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(11),SORTESINGLEWINGTWEETSUMMARY.TXT,0.2,0.19048,0.19512,1
ROUGE-1,AURORA SHOOTING(11),SORTESENTSUMMARY.TXT,0.51667,0.40789,0.45588,1
ROUGE-1,AURORA SHOOTING(11),PRSENTSUMMARY.TXT,0.36667,0.62857,0.46316,1
ROUGE-1,AURORA SHOOTING(11),SORTESINGLEWINGSENTSUMMARY.TXT,0.5,0.42857,0.46154,1
ROUGE-1,AURORA SHOOTING(11),SORTETWEETSUMMARY.TXT,0.26667,0.21053,0.23529,1
ROUGE-1,AURORA SHOOTING(11),PRTWEETSUMMARY.TXT,0.28333,0.23288,0.25564,1
