ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(9),SORTESINGLEWINGSENTSUMMARY.TXT,0.22222,0.12903,0.16327,1
ROUGE-1,AURORA SHOOTING(9),SORTESINGLEWINGTWEETSUMMARY.TXT,0.14815,0.12308,0.13445,1
ROUGE-1,AURORA SHOOTING(9),SORTETWEETSUMMARY.TXT,0.14815,0.13559,0.14159,1
ROUGE-1,AURORA SHOOTING(9),PRTWEETSUMMARY.TXT,0.29630,0.25397,0.27350,1
ROUGE-1,AURORA SHOOTING(9),PRSENTSUMMARY.TXT,0.20370,0.18966,0.19643,1
ROUGE-1,AURORA SHOOTING(9),SORTESENTSUMMARY.TXT,0.22222,0.12903,0.16327,1
