ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AURORA SHOOTING(13),PRTWEETSUMMARY.TXT,0.32143,0.21951,0.26087,1
ROUGE-1,AURORA SHOOTING(13),SORTESINGLEWINGSENTSUMMARY.TXT,0.21429,0.32432,0.25806,1
ROUGE-1,AURORA SHOOTING(13),SORTESENTSUMMARY.TXT,0.21429,0.25000,0.23077,1
ROUGE-1,AURORA SHOOTING(13),SORTESINGLEWINGTWEETSUMMARY.TXT,0.12500,0.11864,0.12174,1
ROUGE-1,AURORA SHOOTING(13),SORTETWEETSUMMARY.TXT,0.07143,0.10256,0.08421,1
ROUGE-1,AURORA SHOOTING(13),PRSENTSUMMARY.TXT,0.19643,0.22449,0.20952,1
